Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6
GERD, stomach_pain, acidity, vomiting,,,
GERD, stomach_pain, vomiting, chest_pain,,,
GERD, stomach_pain, acidity, chest_pain,,,
GERD, acidity, vomiting, cough,,,
GERD, stomach_pain, acidity, vomiting, cough,,
GERD, stomach_pain, acidity, cough,,,
GERD, stomach_pain, acidity, vomiting, cough, chest_pain,
GERD, stomach_pain, vomiting,,,,
GERD, stomach_pain, chest_pain,,,,
GERD, ulcers_on_tongue, cough,,,,
GERD, acidity, ulcers_on_tongue, cough, chest_pain,,
GERD, stomach_pain, cough,,,,
GERD, stomach_pain, acidity, ulcers_on_tongue,,,
GERD, stomach_pain, acidity,,,,
GERD, acidity, cough, chest_pain,,,
GERD, acidity, ulcers_on_tongue, chest_pain,,,
GERD, stomach_pain, ulcers_on_tongue, cough, chest_pain,,
GERD, ulcers_on_tongue, cough, chest_pain,,,
GERD, stomach_pain, acidity, ulcers_on_tongue, cough,,
GERD, stomach_pain, ulcers_on_tongue,,,,
GERD, stomach_pain, acidity, cough,,,
GERD, stomach_pain, acidity, ulcers_on_tongue, chest_pain,,
GERD, stomach_pain, cough, chest_pain,,,
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,
GERD, stomach_pain, ulcers_on_tongue, chest_pain,,,
GERD, stomach_pain, ulcers_on_tongue, cough,,,
GERD, acidity, cough,,,,
GERD, ulcers_on_tongue, chest_pain,,,,
GERD, acidity, ulcers_on_tongue,,,,
GERD, cough, chest_pain,,,,
GERD, stomach_pain, acidity, cough, chest_pain,,
GERD, stomach_pain, acidity, chest_pain,,,
GERD, acidity, ulcers_on_tongue, cough,,,
GERD, acidity, chest_pain,,,,
GERD, acidity, ulcers_on_tongue, chest_pain,,,
GERD, acidity, ulcers_on_tongue,,,,
GERD, acidity, vomiting, chest_pain,,,
GERD, stomach_pain, acidity, vomiting, chest_pain,,
GERD, stomach_pain, vomiting, chest_pain,,,
GERD, ulcers_on_tongue, vomiting,,,,
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting,,
GERD, stomach_pain, ulcers_on_tongue, vomiting,,,
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain,
GERD, stomach_pain, chest_pain,,,,
GERD, stomach_pain, ulcers_on_tongue,,,,
GERD, stomach_pain, acidity, ulcers_on_tongue,,,
GERD, acidity, ulcers_on_tongue, vomiting,,,
GERD, acidity, vomiting,,,,
GERD, stomach_pain, acidity, chest_pain,,,
GERD, acidity, ulcers_on_tongue, vomiting, chest_pain,,
GERD, ulcers_on_tongue, vomiting, chest_pain,,,
GERD, stomach_pain, acidity,,,,
GERD, stomach_pain, acidity, vomiting,,,
GERD, vomiting, chest_pain,,,,
GERD, ulcers_on_tongue, chest_pain,,,,
GERD, stomach_pain, ulcers_on_tongue, vomiting, chest_pain,,
GERD, stomach_pain, ulcers_on_tongue, chest_pain,,,
GERD, stomach_pain, vomiting,,,,
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough,
GERD, stomach_pain, cough,,,,
GERD, ulcers_on_tongue, vomiting,,,,
GERD, acidity, cough,,,,
GERD, stomach_pain, acidity, vomiting, cough,,
GERD, acidity, ulcers_on_tongue, cough,,,
GERD, stomach_pain, ulcers_on_tongue, cough,,,
GERD, acidity, ulcers_on_tongue,,,,
GERD, stomach_pain, ulcers_on_tongue, vomiting,,,
GERD, acidity, vomiting,,,,
GERD, ulcers_on_tongue, cough,,,,
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough,,
GERD, acidity, ulcers_on_tongue, vomiting, cough,,
GERD, stomach_pain, ulcers_on_tongue,,,,
GERD, ulcers_on_tongue, vomiting, cough,,,
GERD, stomach_pain, vomiting, cough,,,
GERD, stomach_pain, acidity, cough,,,
GERD, stomach_pain, acidity,,,,
GERD, stomach_pain, acidity, ulcers_on_tongue,,,
GERD, stomach_pain, acidity, vomiting,,,
GERD, vomiting, cough,,,,
GERD, acidity, ulcers_on_tongue, vomiting,,,
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting,,
GERD, acidity, vomiting, cough,,,
GERD, stomach_pain, vomiting,,,,
GERD, ulcers_on_tongue, chest_pain,,,,
GERD, acidity, ulcers_on_tongue, chest_pain,,,
GERD, acidity, vomiting,,,,
GERD, ulcers_on_tongue, cough,,,,
GERD, ulcers_on_tongue, vomiting, cough, chest_pain,,
GERD, acidity, ulcers_on_tongue,,,,
GERD, acidity, ulcers_on_tongue, vomiting, chest_pain,,
GERD, vomiting, chest_pain,,,,
GERD, acidity, vomiting, chest_pain,,,
GERD, cough, chest_pain,,,,
GERD, acidity, vomiting, cough,,,
GERD, acidity, ulcers_on_tongue, cough,,,
GERD, ulcers_on_tongue, vomiting, chest_pain,,,
GERD, vomiting, cough, chest_pain,,,
GERD, ulcers_on_tongue, cough, chest_pain,,,
GERD, acidity, ulcers_on_tongue, vomiting,,,
GERD, vomiting, cough,,,,
GERD, acidity, cough,,,,
GERD, acidity, chest_pain,,,,
GERD, acidity, cough, chest_pain,,,
GERD, acidity, vomiting, cough, chest_pain,,
GERD, acidity, ulcers_on_tongue, vomiting, cough,,
GERD, ulcers_on_tongue, vomiting,,,,
GERD, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,
GERD, acidity, ulcers_on_tongue, cough, chest_pain,,
GERD, stomach_pain, vomiting,,,,
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,
GERD, ulcers_on_tongue, cough, chest_pain,,,
GERD, stomach_pain, cough, chest_pain,,,
GERD, ulcers_on_tongue, vomiting, cough,,,
GERD, stomach_pain, ulcers_on_tongue, vomiting, chest_pain,,
GERD, ulcers_on_tongue, cough,,,,
GERD, ulcers_on_tongue, vomiting, cough, chest_pain,,
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough,,
GERD, stomach_pain, cough,,,,
GERD, vomiting, cough, chest_pain,,,
GERD, stomach_pain, vomiting, cough, chest_pain,,
GERD, cough, chest_pain,,,,
GERD, stomach_pain, vomiting, chest_pain,,,
GERD, stomach_pain, ulcers_on_tongue, vomiting,,,
GERD, stomach_pain, chest_pain,,,,
GERD, ulcers_on_tongue, chest_pain,,,,
GERD, stomach_pain, ulcers_on_tongue, chest_pain,,,
GERD, stomach_pain, ulcers_on_tongue, cough,,,
GERD, ulcers_on_tongue, vomiting,,,,
GERD, stomach_pain, vomiting, cough,,,
GERD, stomach_pain, ulcers_on_tongue,,,,
GERD, stomach_pain, ulcers_on_tongue, cough, chest_pain,,
GERD, vomiting, chest_pain,,,,
GERD, ulcers_on_tongue, vomiting, chest_pain,,,
GERD, vomiting, chest_pain,,,,
GERD, acidity, chest_pain,,,,
GERD, stomach_pain, acidity, vomiting, chest_pain,,
GERD, stomach_pain, acidity, cough, chest_pain,,
GERD, stomach_pain, acidity, vomiting,,,
GERD, vomiting, cough,,,,
GERD, stomach_pain, acidity, vomiting, cough, chest_pain,
GERD, stomach_pain, acidity, chest_pain,,,
GERD, acidity, vomiting,,,,
GERD, cough, chest_pain,,,,
GERD, stomach_pain, vomiting, chest_pain,,,
GERD, acidity, cough,,,,
GERD, acidity, cough, chest_pain,,,
GERD, stomach_pain, vomiting,,,,
GERD, stomach_pain, acidity,,,,
GERD, stomach_pain, acidity, vomiting, cough,,
GERD, acidity, vomiting, cough,,,
GERD, stomach_pain, vomiting, cough,,,
GERD, vomiting, cough, chest_pain,,,
GERD, acidity, vomiting, chest_pain,,,
GERD, stomach_pain, vomiting, cough, chest_pain,,
GERD, acidity, vomiting, cough, chest_pain,,
GERD, stomach_pain, cough,,,,
GERD, stomach_pain, acidity, cough,,,
GERD, stomach_pain, cough, chest_pain,,,
GERD, stomach_pain, cough,,,,
GERD, ulcers_on_tongue, cough,,,,
GERD, stomach_pain, acidity, cough,,,
GERD, cough, chest_pain,,,,
GERD, acidity, cough,,,,
GERD, stomach_pain, ulcers_on_tongue, chest_pain,,,
GERD, acidity, ulcers_on_tongue, chest_pain,,,
GERD, stomach_pain, acidity, cough, chest_pain,,
GERD, acidity, ulcers_on_tongue, cough,,,
GERD, stomach_pain, acidity,,,,
GERD, acidity, cough, chest_pain,,,
GERD, stomach_pain, acidity, ulcers_on_tongue, cough,,
GERD, stomach_pain, acidity, ulcers_on_tongue,,,
GERD, stomach_pain, ulcers_on_tongue,,,,
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,
GERD, acidity, ulcers_on_tongue,,,,
GERD, stomach_pain, acidity, chest_pain,,,
GERD, stomach_pain, cough, chest_pain,,,
GERD, stomach_pain, ulcers_on_tongue, cough, chest_pain,,
GERD, acidity, ulcers_on_tongue, cough, chest_pain,,
GERD, acidity, chest_pain,,,,
GERD, stomach_pain, ulcers_on_tongue, cough,,,
GERD, ulcers_on_tongue, chest_pain,,,,
GERD, stomach_pain, acidity, ulcers_on_tongue, chest_pain,,
GERD, stomach_pain, chest_pain,,,,
Chronic cholestasis,itching, yellowish_skin, nausea,,,
Chronic cholestasis, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes,,
Chronic cholestasis, vomiting, yellowish_skin, abdominal_pain, yellowing_of_eyes,,
Chronic cholestasis, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes,
Chronic cholestasis,itching, loss_of_appetite, abdominal_pain,,,
Chronic cholestasis,itching, vomiting, loss_of_appetite, yellowing_of_eyes,,
Chronic cholestasis,itching, vomiting, nausea, yellowing_of_eyes,,
Chronic cholestasis,itching, nausea, yellowing_of_eyes,,,
Chronic cholestasis, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes,
Chronic cholestasis, vomiting, yellowish_skin,,,,
Chronic cholestasis, yellowish_skin, nausea,,,,
Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes
Chronic cholestasis, nausea, abdominal_pain, yellowing_of_eyes,,,
Chronic cholestasis,itching, abdominal_pain, yellowing_of_eyes,,,
Chronic cholestasis,itching, yellowing_of_eyes,,,,
Chronic cholestasis,itching, vomiting,,,,
Chronic cholestasis, vomiting, nausea, yellowing_of_eyes,,,
Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite, yellowing_of_eyes,
Chronic cholestasis, nausea, abdominal_pain,,,,
Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes,
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes
Chronic cholestasis, abdominal_pain, yellowing_of_eyes,,,,
Chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain,
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea,,
Chronic cholestasis,itching, yellowish_skin, loss_of_appetite, yellowing_of_eyes,,
Chronic cholestasis, yellowish_skin, nausea, loss_of_appetite, abdominal_pain,,
Chronic cholestasis, yellowish_skin, nausea, yellowing_of_eyes,,,
Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite,,
Chronic cholestasis, vomiting, yellowish_skin,,,,
Chronic cholestasis, yellowish_skin, abdominal_pain,,,,
Chronic cholestasis, vomiting, yellowing_of_eyes,,,,
Chronic cholestasis, vomiting, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,
Chronic cholestasis, nausea, loss_of_appetite,,,,
Chronic cholestasis, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,
Chronic cholestasis, vomiting, loss_of_appetite,,,,
Chronic cholestasis, vomiting, loss_of_appetite, yellowing_of_eyes,,,
Chronic cholestasis, vomiting, yellowish_skin, nausea, yellowing_of_eyes,,
Chronic cholestasis, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,
Chronic cholestasis, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,
Chronic cholestasis, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,
Chronic cholestasis, yellowish_skin, yellowing_of_eyes,,,,
Chronic cholestasis, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes,,
Chronic cholestasis, vomiting, nausea, loss_of_appetite,,,
Chronic cholestasis, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes,,
Chronic cholestasis, vomiting, yellowish_skin, abdominal_pain, yellowing_of_eyes,,
Chronic cholestasis, vomiting, loss_of_appetite, abdominal_pain,,,
Chronic cholestasis, loss_of_appetite, yellowing_of_eyes,,,,
Chronic cholestasis, vomiting, yellowish_skin, nausea,,,
Chronic cholestasis, yellowish_skin, loss_of_appetite,,,,
Chronic cholestasis, vomiting, yellowish_skin, nausea, abdominal_pain,,
Chronic cholestasis, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,
Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite,,
Chronic cholestasis, yellowish_skin, nausea, abdominal_pain,,,
Chronic cholestasis,itching, yellowish_skin, loss_of_appetite, yellowing_of_eyes,,
Chronic cholestasis, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes,,
Chronic cholestasis, nausea, loss_of_appetite,,,,
Chronic cholestasis,itching, yellowish_skin, nausea,,,
Chronic cholestasis, nausea, abdominal_pain,,,,
Chronic cholestasis, nausea, yellowing_of_eyes,,,,
Chronic cholestasis,itching, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,
Chronic cholestasis,itching, nausea,,,,
Chronic cholestasis, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,
Chronic cholestasis,itching, nausea, yellowing_of_eyes,,,
Chronic cholestasis,itching, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes,
Chronic cholestasis,itching, nausea, loss_of_appetite, yellowing_of_eyes,,
Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain,
Chronic cholestasis,itching, yellowish_skin, abdominal_pain,,,
Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes
Chronic cholestasis, yellowish_skin, loss_of_appetite,,,,
Chronic cholestasis,itching, abdominal_pain, yellowing_of_eyes,,,
Chronic cholestasis,itching, loss_of_appetite,,,,
Chronic cholestasis, yellowish_skin, abdominal_pain, yellowing_of_eyes,,,
Chronic cholestasis, abdominal_pain, yellowing_of_eyes,,,,
Chronic cholestasis, loss_of_appetite, abdominal_pain,,,,
Chronic cholestasis, yellowish_skin, loss_of_appetite, yellowing_of_eyes,,,
Chronic cholestasis,itching, loss_of_appetite, abdominal_pain,,,
Chronic cholestasis,itching, nausea, loss_of_appetite,,,
Chronic cholestasis,itching, vomiting, nausea, abdominal_pain, yellowing_of_eyes,
Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite, abdominal_pain,
Chronic cholestasis, abdominal_pain, yellowing_of_eyes,,,,
Chronic cholestasis,itching, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,
Chronic cholestasis,itching, nausea,,,,
Chronic cholestasis,itching, nausea, loss_of_appetite, yellowing_of_eyes,,
Chronic cholestasis, loss_of_appetite, abdominal_pain,,,,
Chronic cholestasis, vomiting, nausea, loss_of_appetite,,,
Chronic cholestasis,itching, nausea, yellowing_of_eyes,,,
Chronic cholestasis,itching, vomiting, abdominal_pain,,,
Chronic cholestasis,itching, yellowing_of_eyes,,,,
Chronic cholestasis, vomiting, nausea, loss_of_appetite, abdominal_pain,,
Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes
Chronic cholestasis,itching, nausea, loss_of_appetite, abdominal_pain,,
Chronic cholestasis, nausea, loss_of_appetite, yellowing_of_eyes,,,
Chronic cholestasis, vomiting, nausea, abdominal_pain, yellowing_of_eyes,,
Chronic cholestasis, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,
Chronic cholestasis, vomiting, nausea, loss_of_appetite, yellowing_of_eyes,,
Chronic cholestasis,itching, vomiting, loss_of_appetite, abdominal_pain, yellowing_of_eyes,
Chronic cholestasis, vomiting, abdominal_pain,,,,
Chronic cholestasis,itching, vomiting, loss_of_appetite,,,
Chronic cholestasis, nausea, yellowing_of_eyes,,,,
Chronic cholestasis,itching, vomiting, loss_of_appetite, abdominal_pain,,
Chronic cholestasis,itching, loss_of_appetite,,,,
Chronic cholestasis, vomiting, loss_of_appetite,,,,
Chronic cholestasis,itching, vomiting, loss_of_appetite, abdominal_pain,,
Chronic cholestasis, vomiting, yellowish_skin, yellowing_of_eyes,,,
Chronic cholestasis,itching, loss_of_appetite, abdominal_pain,,,
Chronic cholestasis, vomiting, yellowish_skin, loss_of_appetite, yellowing_of_eyes,,
Chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain,
Chronic cholestasis,itching, yellowish_skin, abdominal_pain,,,
Chronic cholestasis,itching, vomiting, loss_of_appetite, abdominal_pain, yellowing_of_eyes,
Chronic cholestasis,itching, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes,
Chronic cholestasis, yellowish_skin, loss_of_appetite, yellowing_of_eyes,,,
Chronic cholestasis, vomiting, abdominal_pain,,,,
Chronic cholestasis,itching, abdominal_pain, yellowing_of_eyes,,,
Chronic cholestasis,itching, vomiting, yellowish_skin, abdominal_pain,,
Chronic cholestasis, loss_of_appetite, abdominal_pain,,,,
Chronic cholestasis,itching, vomiting, loss_of_appetite,,,
Chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes
Chronic cholestasis, vomiting, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,
Chronic cholestasis,itching, vomiting,,,,
Chronic cholestasis, yellowish_skin, abdominal_pain, yellowing_of_eyes,,,
Chronic cholestasis, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,
Chronic cholestasis,itching, yellowish_skin, loss_of_appetite, yellowing_of_eyes,,
Chronic cholestasis,itching, loss_of_appetite, yellowing_of_eyes,,,
Chronic cholestasis,itching, vomiting, loss_of_appetite, yellowing_of_eyes,,
Chronic cholestasis,itching, yellowing_of_eyes,,,,
Chronic cholestasis,itching, yellowish_skin, nausea, yellowing_of_eyes,,
Chronic cholestasis,itching, yellowish_skin, yellowing_of_eyes,,,
Chronic cholestasis,itching, vomiting, nausea, yellowing_of_eyes,,
Chronic cholestasis,itching, yellowish_skin, abdominal_pain,,,
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes
Chronic cholestasis, vomiting, abdominal_pain,,,,
Chronic cholestasis, vomiting, yellowish_skin, nausea, yellowing_of_eyes,,
Chronic cholestasis,itching, yellowish_skin, nausea,,,
Chronic cholestasis, yellowish_skin, nausea, yellowing_of_eyes,,,
Chronic cholestasis, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes,,
